Standing,Club Name,GP,Win,Draw,Lose,GF,GA,GD,Points,PPG,Last 8,CS,FTS
1,Manchester City,38,27,5,6,83,32,51,86,2.26,1.88,50%,8%
2,Manchester Utd,38,21,11,6,73,44,29,74,1.95,1.75,34%,21%
3,Liverpool,38,20,9,9,68,42,26,69,1.82,2.5,32%,21%
4,Chelsea,38,19,10,9,58,36,22,67,1.76,2,47%,26%
5,Leicester City,38,20,6,12,68,50,18,66,1.74,1.25,29%,16%
6,West Ham Utd,38,19,8,11,62,47,15,65,1.71,1.63,29%,18%
7,Tottenham,38,18,8,12,68,45,23,62,1.63,1.63,32%,16%
8,Arsenal,38,18,7,13,55,39,16,61,1.61,2.38,32%,32%
9,Leeds Utd,38,18,5,15,62,54,8,59,1.55,2.13,32%,26%
10,Everton,38,17,8,13,47,48,1,59,1.55,1.38,32%,26%
11,Aston Villa,38,16,7,15,55,46,9,55,1.45,1.38,39%,21%
12,Newcastle Utd,38,12,9,17,46,62,16,45,1.18,2,18%,32%
13,Wolverhampton,38,12,9,17,36,52,16,45,1.18,1.25,26%,34%
14,Crystal Palace,38,12,8,18,41,66,25,44,1.16,0.75,21%,37%
15,Southampton,38,12,7,19,47,68,21,43,1.13,0.88,24%,34%
16,Brighton,38,9,14,15,40,46,6,41,1.08,1.13,32%,32%
17,Burnley,38,10,9,19,33,55,22,39,1.03,0.75,29%,45%
18,Fulham,38,5,13,20,27,53,26,28,0.74,0.25,24%,47%
19,West Brom,38,5,11,22,35,76,41,26,0.68,0.63,16%,42%
20,Sheffield Utd,38,7,2,29,20,63,43,23,0.61,1.13,13%,55%
