Standing,Club Name,GP,Win,Draw,Lose,GF,GA,GD,Points,PPG,Last 8,CS,FTS
1, Bayern Munich,34,24,6,4,99,44,55,78,2.29,2.13,0.26,0
2, RB Leipzig,34,19,8,7,60,32,28,65,1.91,1,0.44,0.12
3, Dortmund,34,20,4,10,75,46,29,64,1.88,2.63,0.32,0.03
4, Wolfsburg,34,17,10,7,61,37,24,61,1.79,1.25,0.41,0.15
5, E. Frankfurt,34,16,12,6,69,53,16,60,1.76,1.63,0.12,0.06
6, Leverkusen,34,14,10,10,53,39,14,52,1.53,1.5,0.26,0.26
7, Union Berlin,34,12,14,8,50,43,7,50,1.47,1.5,0.21,0.18
8, Monchengladbach,34,13,10,11,64,56,8,49,1.44,1.63,0.21,0.12
9, Stuttgart,34,12,9,13,56,55,1,45,1.32,1.13,0.15,0.18
10, Freiburg,34,12,9,13,52,52,0,45,1.32,1,0.18,0.26
11, Hoffenheim,34,11,10,13,52,54,-2,43,1.26,1.63,0.18,0.21
12, FSV Mainz,34,10,9,15,39,56,-17,39,1.15,1.88,0.15,0.29
13, FC Augsburg,34,10,6,18,36,54,-18,36,1.06,0.88,0.21,0.32
14, Hertha Berlin,34,8,11,15,41,52,-11,35,1.03,1.38,0.26,0.35
15, Bielefeld,34,9,8,17,26,52,-26,35,1.03,1.63,0.32,0.44
16, FC Koln,34,8,9,17,34,60,-26,33,0.97,1.25,0.15,0.35
17, Werder Bremen,34,7,10,17,36,57,-21,31,0.91,0.13,0.18,0.26
18, Schalke 04,34,3,7,24,25,86,-61,16,0.47,0.75,0.12,0.53
