Standing,Club Name,GP,Win,Draw,Lose,GF,GA,GD,Points,PPG,last 8,CS,FTS
1,Atletico Madrid,38,26,8,4,67,25,42,86,2.26,2.38,47%,18%
2,Real Madrid,38,25,9,4,67,28,39,84,2.21,2.25,45%,13%
3,FC Barcelona,38,24,7,7,85,38,47,79,2.08,1.75,37%,8%
4,Sevilla FC,38,24,5,9,53,33,20,77,2.03,2,45%,18%
5,Real Sociedad,38,17,11,10,59,38,21,62,1.63,1.88,37%,16%
6,Real Betis,38,17,10,11,50,50,0,61,1.61,1.75,34%,24%
7,Villarreal,38,15,13,10,60,44,16,58,1.53,1.5,26%,18%
8,Celta Vigo,38,14,11,13,55,57,2,53,1.39,2,24%,26%
9,Granada,38,13,7,18,47,65,18,46,1.21,0.88,24%,21%
10,Athletic Bilbao,38,11,13,14,46,42,4,46,1.21,1.13,24%,32%
11,Osasuna,38,11,11,16,37,48,11,44,1.16,1.25,29%,39%
12,Cadiz,38,11,11,16,36,58,22,44,1.16,1.13,26%,34%
13,Valencia,38,10,13,15,50,53,3,43,1.13,1.13,18%,24%
14,Levante,38,9,14,15,46,57,11,41,1.08,0.38,11%,29%
15,Getafe,38,9,11,18,28,43,15,38,1,1,37%,55%
16,Alaves,38,9,11,18,36,57,21,38,1,1.75,24%,34%
17,Elche,38,8,12,18,34,55,21,36,0.95,1.25,18%,34%
18,Huesca,38,7,13,18,34,53,19,34,0.89,0.88,24%,42%
19,Valladolid,38,5,16,17,34,57,23,31,0.82,0.5,8%,37%
20,Eibar,38,6,12,20,29,52,23,30,0.79,0.88,24%,37%
