Standing,Club Name,GP,Win,Draw,Lose,GF,GA,GD,Points,PPG,last 8,CS,FTS
1, Lille,38,24,11,3,64,23,41,83,2.18,2.5,0.55,0.11
2, Paris SG,38,26,4,8,86,28,58,82,2.16,2.38,0.5,0.16
3, Monaco,38,24,6,8,76,42,34,78,2.05,2.38,0.39,0.13
4, Lyon,38,22,10,6,81,43,38,76,2,2,0.29,0.08
5, Marseille,38,16,12,10,54,47,7,60,1.58,1.88,0.21,0.21
6, Rennes,38,16,10,12,52,40,12,58,1.53,1.75,0.26,0.26
7, Lens,38,15,12,11,55,54,1,57,1.5,1.13,0.21,0.21
8, Montpellier,38,14,12,12,60,62,-2,54,1.42,1.25,0.13,0.16
9, Nice,38,15,7,16,50,53,-3,52,1.37,1.63,0.24,0.29
10, Metz,38,12,11,15,44,48,-4,47,1.24,0.63,0.21,0.32
11, Saint-Etienne,38,12,10,16,42,54,-12,46,1.21,1.63,0.32,0.29
12, Bordeaux,38,13,6,19,42,56,-14,45,1.18,1.13,0.37,0.32
13, Angers,38,12,8,18,40,58,-18,44,1.16,0.5,0.24,0.42
14, Reims,38,9,15,14,42,50,-8,42,1.11,0.5,0.26,0.37
15, Strasbourg,38,11,9,18,49,58,-9,42,1.11,1.13,0.26,0.26
16, Lorient,38,11,9,18,50,68,-18,42,1.11,1.63,0.13,0.26
17, Brest,38,11,8,19,50,66,-16,41,1.08,0.75,0.18,0.29
18, Nantes,38,9,13,16,47,55,-8,40,1.05,1.5,0.13,0.24
19, Nimes,38,9,8,21,40,71,-31,35,0.92,0.75,0.21,0.34
20, Dijon,38,4,9,25,25,73,-48,21,0.55,0.75,0.16,0.55
