Standing,Club Name,GP,Win,Draw,Lose,GF,GA,GD,Points,PPG,last 8,CS,FTS
1, Inter Milan,38,28,7,3,89,35,54,91,2.39,2.13,0.37,0.03
2, AC Milan,38,24,7,7,74,41,33,79,2.08,2,0.37,0.16
3, Atalanta,38,23,9,6,90,47,43,78,2.05,2.13,0.29,0.13
4, Juventus,38,23,9,6,77,38,39,78,2.05,2,0.21,0.16
5, Napoli,38,24,5,9,86,41,45,77,2.03,2.25,0.37,0.08
6, Lazio,38,21,5,12,61,55,6,68,1.79,1.25,0.32,0.16
7, AS Roma,38,18,8,12,68,58,10,62,1.63,1,0.29,0.24
8, Sassuolo,38,17,11,10,64,56,8,62,1.63,2.38,0.21,0.11
9, Sampdoria,38,15,7,16,52,54,-2,52,1.37,2,0.18,0.21
10, Hellas Verona,38,11,12,15,46,48,-2,45,1.18,0.5,0.18,0.24
11, Genoa,38,10,12,16,47,58,-11,42,1.11,1.25,0.24,0.24
12, Bologna,38,10,11,17,51,65,-14,41,1.08,0.88,0.13,0.29
13, Udinese,38,10,10,18,42,58,-16,40,1.05,0.88,0.21,0.32
14, Fiorentina,38,9,13,16,47,59,-12,40,1.05,1.25,0.24,0.32
15, Spezia,38,9,12,17,52,72,-20,39,1.03,0.88,0.13,0.21
16, Cagliari,38,9,10,19,43,59,-16,37,0.97,1.88,0.18,0.37
17, Torino,38,7,16,15,50,69,-19,37,0.97,0.88,0.21,0.24
18, Benevento,38,7,12,19,40,75,-35,33,0.87,0.38,0.18,0.29
19, Crotone,38,6,5,27,45,92,-47,23,0.61,1,0.08,0.37
20, Parma,38,3,11,24,39,83,-44,20,0.53,0,0.13,0.39
